stable_id,box_no,size_category,status
S01,B-01,standard,active
S02,B-02,standard,active
S03,B-03,standard,active
S04,B-04,standard,active
S05,B-05,standard,active
S06,B-06,standard,active
S07,B-07,standard,active
S08,B-08,standard,active
S09,B-09,standard,active
S10,B-10,standard,active
S11,B-11,standard,active
S12,B-12,standard,active
S13,B-13,large,active
S14,B-14,large,active
S15,B-15,large,active
S16,B-16,large,active
S17,B-17,standard,active
S18,B-18,standard,active
S19,B-19,standard,active
S20,B-20,standard,active
